id,name,type,status,lat,lon,description,last_inspection,capacity,region
45,Kambalda Substation,Substation,Watch,-31.194,121.668,Mining region transmission facility,2024-10-13,132kV,Goldfields-Esperance
46,Ravensthorpe Depot,Depot,OK,-33.579,120.047,Southeast goldfields depot,2024-10-25,16 vehicles,Goldfields-Esperance
47,Eucla Tower,Tower,OK,-31.678,128.889,Remote eastern border tower,2024-10-09,66kV,Goldfields-Esperance
48,Norseman Substation,Substation,OK,-32.198,121.778,Eastern goldfields transmission,2024-11-02,132kV,Goldfields-Esperance
49,Southern Cross Yard,Yard,OK,-31.228,119.325,Central goldfields storage yard,2024-10-23,30 poles,Goldfields-Esperance
50,Hyden Depot,Depot,OK,-32.447,118.862,Southeastern wheatbelt depot,2024-10-17,14 vehicles,Wheatbelt
51,Wickepin Tower,Tower,OK,-32.772,117.542,Central agricultural tower,2024-10-14,66kV,Wheatbelt
52,Corrigin Substation,Substation,OK,-32.334,117.868,Wheatbelt regional transmission,2024-10-20,66kV,Wheatbelt
53,Bruce Rock Yard,Yard,OK,-31.869,118.158,Eastern wheatbelt storage,2024-10-19,28 poles,Wheatbelt
54,Kellerberrin Depot,Depot,OK,-31.624,117.721,Central wheatbelt operations,2024-10-26,15 vehicles,Wheatbelt
55,Kojonup Tower,Tower,OK,-33.831,117.157,Great southern agricultural tower,2024-10-24,66kV,Great Southern
56,Cranbrook Substation,Substation,OK,-34.294,117.557,Southern agricultural transmission,2024-10-29,66kV,Great Southern
57,Mount Barker Depot,Depot,OK,-34.630,117.665,Southern hills operations depot,2024-11-05,18 vehicles,Great Southern
58,Gnowangerup Yard,Yard,OK,-33.939,118.010,Eastern great southern storage,2024-10-22,32 poles,Great Southern
59,Jerramungup Tower,Tower,OK,-33.991,118.939,Southeast agricultural tower,2024-10-18,66kV,Great Southern
60,Ongerup Depot,Depot,OK,-34.039,118.557,Remote southern agricultural depot,2024-10-15,12 vehicles,Great Southern
61,Pemberton Substation,Substation,OK,-34.446,116.033,Deep southwest forest transmission,2024-11-01,66kV,South West
62,Northcliffe Yard,Yard,OK,-34.629,116.126,Far southwest storage yard,2024-10-27,22 poles,South West
63,Augusta Tower,Tower,OK,-34.316,115.157,Southwest cape transmission tower,2024-10-31,66kV,South West
64,Dunsborough Depot,Depot,OK,-33.613,115.103,Southwest coastal operations depot,2024-11-03,16 vehicles,South West
65,Yallingup Substation,Substation,OK,-33.649,115.034,Coastal tourist region transmission,2024-10-28,66kV,South West
66,Harvey Yard,Yard,OK,-33.082,115.903,Southwestern agricultural storage,2024-10-25,35 poles,South West
67,Pinjarra Depot,Depot,OK,-32.629,115.874,Peel region operations depot,2024-11-07,24 vehicles,Peel
68,Waroona Tower,Tower,OK,-32.841,115.920,Rural peel transmission tower,2024-10-30,66kV,Peel
69,Dwellingup Substation,Substation,OK,-32.714,116.063,Forest region transmission facility,2024-10-26,66kV,Peel
70,Boddington Depot,Depot,Watch,-32.797,116.472,Mining region operations depot,2024-10-12,20 vehicles,Peel
71,Williams Tower,Tower,OK,-33.027,116.879,Central agricultural tower,2024-10-21,66kV,Wheatbelt
72,Narembeen Substation,Substation,OK,-32.074,118.383,Eastern wheatbelt transmission,2024-10-19,66kV,Wheatbelt
73,Lake Grace Yard,Yard,OK,-33.100,118.465,Remote eastern agricultural storage,2024-10-16,26 poles,Wheatbelt
74,Newdegate Depot,Depot,OK,-33.095,119.018,Far eastern wheatbelt depot,2024-10-14,13 vehicles,Wheatbelt
75,Kondinin Tower,Tower,OK,-32.516,118.881,Eastern agricultural tower,2024-10-17,66kV,Wheatbelt
76,Mukinbudin Substation,Substation,OK,-30.895,118.211,Northern wheatbelt transmission,2024-10-22,66kV,Wheatbelt
77,Beacon Yard,Yard,OK,-30.470,118.253,Northern agricultural storage,2024-10-20,24 poles,Wheatbelt
78,Perenjori Depot,Depot,OK,-29.432,116.276,Northwest wheatbelt depot,2024-10-18,14 vehicles,Mid West
79,Mingenew Tower,Tower,OK,-29.195,115.438,Mid-west agricultural tower,2024-10-24,66kV,Mid West
80,Morawa Substation,Substation,OK,-29.212,116.010,Mid-west rural transmission,2024-10-23,66kV,Mid West
